,attraction_name,category,rating,reviews,categories,address,city
6196,Imam Reza Holy Shrine,Shrine,4.8,17695,"Shrine, Pilgrimage place, Religious destination","Imam Reza Holy Shrine, Mashhad, Razavi Khorasan Province, Iran",Mashhad
6197,Water Waves Land,Water park,4.1,4057,"Water park, Tourist attraction","Mashhad, Shahrak Gharb, mshhd shhrkh Grb blwr ndyshh bzrgrh mm `ly, ndyshh 81, plkh nbsh, 9GGC+9CH Water Waves Land, Iran",Mashhad
6198,Mellat Amusement Park,Amusement park,4.2,3082,"Amusement park, Park, Tourist attraction","stn khrsn rDwy, mshhd, blwr wkhyl abd ,blwr mmt ,mqbl mmt 8,, Mellat Amusement Park, Iran",Mashhad
6199,Vakil Abad Zoo,Zoo,3.6,2620,"Zoo, Tourist attraction","Razavi Khorasan Province, Mashhad, nthy, blwr wkhyl abd,, 8CQW+8RG Vakil Abad Zoo, Iran",Mashhad
6200,Tomb of Ferdowsi,Tourist attraction,4.6,2588,"Tourist attraction, Garden","Tomb of Ferdowsi, FGP9+C2C, Tous, Razavi Khorasan Province, Iran",Mashhad
6201,Chalidarreh Tourist Complex,Tourist attraction,4,2106,Tourist attraction,"Razavi Khorasan Province, Torghabeh, stn khrsn rDwy mshhd bsmt Trqbh jdh `nbrn, nthy blwr, 89F3+FP Chalidarreh Tourist Complex, Iran",Mashhad
6202,Mashhad Garden,Garden,4.2,640,"Garden, Tourist attraction","Mashhad Garden, Mashhad, Iran",Mashhad
6203,Astan Quds Razavi Museums,Museum,4.5,576,"Museum, Art gallery, Tourist attraction","Astan Quds Razavi Museums, 7JP8+J9H District Samen, Mashhad, Iran",Mashhad
6204,Wonderland,Amusement park,3.6,301,"Amusement park, Tourist attraction, Video arcade","Razavi Khorasan Province, Mashhad, Fath Abad, 3th and 4th Floor- Almas shargh Shopping mall, Baharestan Square, No. blwr khym shmly, Wonderland, 91996 97346, Iran",Mashhad
6205,Steel Window,Pilgrimage place,4.8,167,"Pilgrimage place, Tourist attraction","Steel Window, 7JQ8+885 District Samen, Mashhad, Razavi Khorasan Province, Iran",Mashhad
6206,Malek House,Tourist attraction,4.1,156,"Tourist attraction, Historical place","Razavi Khorasan Province, Mashhad, Emam Khomeini St, 7HPX+CM7 Malek House, Iran",Mashhad
6207,Great Museum of Khorasan,Museum,4,139,"Museum, Tourist attraction","Razavi Khorasan Province, Mashhad, Kouhsangi Ave, Great Museum of Khorasan, Iran",Mashhad
6208,Clock Tower,Tourist attraction,4.6,30,Tourist attraction,"Razavi Khorasan Province, Mashhad, District Samen, SHn nqlb, Clock Tower, Moaven Clock, Enqelab Apron, Iran",Mashhad
6209,Conversation Fountain,Tourist attraction,4.8,12,Tourist attraction,"Conversation Fountain, 7FR9+7MQ, Mashhad, Iran",Mashhad
6210,rhwrd khrsn,Tourist attraction,5,1,Tourist attraction,"Razavi Khorasan Province, Mashhad, Sanaei St, rhwrd khrsn, Iran",Mashhad
6211,Mashhad,,,,,"Mashhad, Razavi Khorasan Province, Iran",Mashhad
6212,bG aqy khdkhdyy,Tourist attraction,,,Tourist attraction,"bG aqy khdkhdyy, 9HP8+C49, Mashhad, Razavi Khorasan Province, Iran",Mashhad
6213,Tomb of Nader Shah,History museum,4.4,1567,"History museum, Museum, Tourist attraction","stn khrsn rDwy mshhd chhrrh shhd, Shirazi Ave, Tomb of Nader Shah, bG ndry, Iran",Mashhad
6214,Koohsangi Park,Park,4.5,1437,Park,"Koohsangi Park, 7HH5+QC7, Mashhad, Razavi Khorasan Province, Iran",Mashhad
6215,Mellat Park,City park,4.5,758,"City park, Tourist attraction","Razavi Khorasan Province, Mashhad, Vakil Abad Blvd., 8GCQ+94R Mellat Park, Iran",Mashhad
6216,Vakilabad Garden,Park,4.5,600,"Park, Tourist attraction","Razavi Khorasan Province, mnTqh 9, mshhd,, Vakilabad Garden, Iran",Mashhad
6217,Green Dome,Shrine,4.2,552,"Shrine, Historical place, Mosque, Place of worship, Tourist attraction","Razavi Khorasan Province, Mashhad, Gonbad Sabz Square, 7JP3+F3M Green Dome, Iran",Mashhad
6218,Daroogheh Historical House,Historical place,4.4,511,Historical place,"Daroogheh Historical House, 7JPC+WWH District Samen, Mashhad, Razavi Khorasan Province, Iran",Mashhad
6219,Tomb of Khajeh Rabie,Tomb,4.2,511,"Tomb, Pilgrimage place, Tourist attraction","Razavi Khorasan Province, Mashhad, Khaje Rabi, nthy blwr, 8JRH+VR8 Tomb of Khajeh Rabie, Iran",Mashhad
6220,Mashhad Old Mosalla,Tourist attraction,4.1,290,"Tourist attraction, Cultural center, Historical place, Museum","Razavi Khorasan Province, Mashhad, Jalaliyeh, Mosalla Blvd, 7JGH+X9H Mashhad Old Mosalla, Iran",Mashhad
6221,Flowers Garden,Garden,4.1,229,"Garden, Theme park, Tourist attraction","Razavi Khorasan Province, Mashhad, Moallem, byn 71 w 73, Moalem, Flowers Garden, Iran",Mashhad
6222,mydn hfdh shhrywr,Vegetation,3.9,225,Vegetation,"mydn hfdh shhrywr, Mashhad, Iran",Mashhad
